Name,Author,Pub Year,ISBN-13,Publisher,Imprint Publisher,BookType,Primary Genre,Genres,Ficiton/non-fiction,Series,Volume,Unit Price,Page number,Language,Read by Stinky,Read by Matt,QTY,To/From,surname,Primary Genre numerical
Against The Loveless World,Susan Abulhawa,2020,9781526626400,Bloomsbury,Bloomsbury Circus,Proof,Modern & Contemporary Fiction,Political Fiction,Fiction,0,,,364,English,0,0,1,,Abulhawa,0
Call me by your name,Andre Aciman,2017,9781786495259,Grove Atlantic,Atlantic Books,Paperback,Modern & Contemporary Fiction,"Romance, drama, coming-of-age",Fiction,0,,8.99,248,English,1,0,1,,Aciman,0
The Hitchhikers guide to the galaxy,Douglas Adams,1979,330258648,Pan,Pan,Paperback - A Format,Science Fiction,"Young Adult, Science Fiction, Fantasy",Fiction,0,,0.9,159,English,1,0,1,,Adams,8
Half of a Yellow Sun,Chimamanda Ngozi Adichie,2017,9780007200283,Harper Collins,4Th Estate,Paperback,Historical Fiction,"Novel, Historical Fiction, Political Fiction",Fiction,0,,8.99,433,English,0,0,1,,Adichie,11
Ghosts,Dolly Alderton,2020,9780241434543,Penguin Random House,Fig Tree,Hardback,Romance,"Fantasy Romance, Modern & Contempary",Fiction,0,,14.99,338,English,1,0,1,,Alderton,3
A Long Petal Of The Sun,Isabel Allende,2020,9781526615909,Bloomsbury,Bloomsbury,Hardback,Historical Fiction,Historical Fiction,Fiction,0,,,311,English,0,0,1,,Allende,11
Violeta,Isabel Allende,2022,9781526648358,Bloomsbury,Bloomsbury,Proof,Historical Fiction,Historical Fiction,Fiction,0,,,319,English,0,0,1,,Allende,11
Carmen and Grace,Melissa Coss Aquino,2023,9781837931224,Bloomsbury,Head Of Zeus,Proof,Modern & Contemporary Fiction,"Coming-of-age, Mystery, Domestic Fiction",Fiction,0,,,389,English,0,0,2,,Aquino,0
The Leviathan,Rosie Andrews,2022,9781526637345,Bloomsbury,Raven Books,Proof,Historical Fiction,"Historical Fiction, Fairy Tale",Fiction,0,,,306,English,1,0,1,,Andrews,11
Violeta,Isabel Allende,2022,9781526648341,Bloomsbury,Bloomsbury,Hardback,Historical Fiction,Historical Fiction,Fiction,0,,16.99,320,English,0,0,1,,Allende,11
Falling Animals,Sheila Armstrong,2023,9781526635846,Bloomsbury,Bloomsbury Circus,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,0,,,229,English,0,0,1,,Armstrong,0
Conjure Women,Afia Atakora,2021,9780008293956,Harper Collins,4Th Estate,Paperback,Historical Fiction,"Historical Fiction, Literary Fiction",Fiction,0,,8.99,400,English,0,0,1,,Atakora,11
The Handmaid's Tale,Margaret Atwood,1996,9780099740919,Penguin Random House,Vintage,Paperback,Classic Fiction,Dystopian Fiction,Fiction,The Handmaid's Tale,1,7.99,324,English,1,0,1,,Atwood,4
Red Queen,Victoria Aveyard,2015,9781409150725,Hachette,Orion,Paperback,Young Adult,"Young Adult, Fantasy",Fiction,Red Queen ,1,7.99,388,English,1,0,1,,Aveyard,9
13 Ways of Looking at a Fat Girl,Mona Awad,2020,9781789540826,Bloomsbury,Head Of Zeus,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,0,,8.99,238,English,0,0,1,,Awad,0
"October, October",Katya Balen,2020,9781526601902,Bloomsbury,Bloomsbury Childrens Books,Paperback,Children's & Teenage,"Middle Grade, Family & Home",Fiction,0,,6.99,290,English,0,0,1,,Balen,10
Voices of the Lost,Hoda Barakat,2021,9781786077226,Oneworld Publications,Oneworld Publications,Paperback,Modern & Contemporary Fiction,Fiction in translation,Fiction,0,,12.99,197,English,0,0,1,,Barakat,0
This Wicked Fate,Kalynn Bayron,2022,9781526650726,Bloomsbury,Bloomsbury Ya,Paperback,Young Adult,"Young Adult, Fantasy Romance",Fiction,This Poison Heart,2,7.99,307,English,0,0,1,,Bayron,9
Alex's Adventures in Numberland,Alex Bellos,2011,9781408809594,Bloomsbury,Bloomsbury,Paperback,Popular Science,Mathematics,Non-Fiction,0,,8.99,448,English,0,0,1,,Bellos,13
The Peace of Wild Things,Wendell Berry,2018,9780141987125,Penguin Random House,Penguin Books,Paperback,Poetry,Poetry,Fiction,0,,8.99,134,English,0,0,1,,Berry,6
What Color is Your Parachute?,Richard N Bolles,2021,9781984857866,Penguin Random House,Ten Speed Press,Paperback,Careers,"Economics, Careers",Non-Fiction,0,,15.99,343,English,0,0,1,,Bolles,22
Wuthering Heights,Emily Bronte,1995,9780141439556,Penguin,Penguin,Paperback,Classic Fiction,Classic Fiction,Fiction,0,,4.99,353,English,1,0,1,,Bronte,4
Toffee,Sarah Crossan,2019,9781526613943,Bloomsbury,Bloomsbury Ya,Proof,Children's & Teenage,Childrens And Teenage,Fiction,0,,,400,English,0,0,1,,Crossan,10
Tomorrow is Beautiful,Sarah Crossan,2021,9781526641892,Bloomsbury,Bloomsbury Ya,Hardback,Poetry,Poetry,Fiction,0,,12.99,265,English,0,0,1,,Crossan,6
Vox,Christina Dalcher,2019,9780008300678,Harper Collins,Hq,Paperback,Modern & Contemporary Fiction,"Thrillers, fantasy, modern and contempary fiction",Fiction,0,,8.99,388,English,0,0,1,,Dalcher,0
The Selfish Gene,Richard Dawkins,1989,9780199291151,Oxford University Press,Oxford University Press,Paperback,Popular Science,"popular science, mathematics, evolution, biology and life sciences",Non-Fiction,0,,8.99,359,English,0,0,1,,Dawkins,13
The start of something,Miranda Dickinson,2022,9780008440756,Harper Collins,Hq,Paperback,Romance,"Thriller, contempary romance",Fiction,0,,8.99,391,English,1,0,1,,Dickinson,3
No Life for a Lady,Hannah Dolby,2023,9781804544365,Bloomsbury,Head Of Zeus,Proof,Historical Fiction,"Historical Romance, historical fiction",Fiction,0,,16.99,355,English,1,0,1,,Dolby,11
A visible Man,Edward Enninful,2022,9781526641540,Bloomsbury,Bloomsbury,Proof,Memoirs,"Memoirs, biography and true stories, Fashion and Beauty, Career",Non-Fiction,0,,,275,English,1,0,1,,Enninful,19
"girl, woman, other",Bernardine Evaristo,2019,9780241984994,Penguin,Penguin,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,0,,8.99,453,English,0,0,1,,Evaristo,0
Settlers,Jimi Famurewa,2022,9781472991577,Bloomsbury,Bloomsbury Continuum,Proof,History,"Social and cultural history, society and culture",Non-Fiction,0,,,290,English,0,0,1,,Famurewa,17
Nothing Special,Nicole Flattery,2023,9781526612137,Bloomsbury,Bloomsbury,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,0,,,230,English,1,0,1,,Flattery,0
The Story of Russia,Orlando Figes,2022,9781526631763,Bloomsbury,Bloomsbury,Trade Paperback,History,"History, Russian Revolution",Non-Fiction,0,,14.99,348,English,0,0,1,,Figes,17
The Guest List,Lucy Foley,2020,9780008297190,Harper Collins,,Paperback,Crime & Mystery,"Crime, Thriller",Fiction,0,,8.99,375,English,0,1,1,,Foley,2
Heroes,Stephen Fry,2019,9781405940368,Penguin Random House,Penguin Books,Paperback,Myths & Legends,Classical Mythology,Fiction,Stephen Fry's Greek Myths,2,8.99,475,English,0,0,1,,Fry,12
Troy,Stephen Fry,2021,9781405944465,Penguin Random House,Penguin Books,Paperback,Myths & Legends,Classical Mythology,Fiction,Stephen Fry's Greek Myths,3,10.99,411,English,0,0,1,,Fry,12
Mrs. Harris Goes to Paris,Paul Gallico,2022,9781526646620,Bloomsbury,,Paperback,Classic Fiction,Classic Fiction,Fiction,Mrs. 'Arris,1,8.99,306,English,0,0,1,,Gallico,4
Eat Pray Love,Elizabeth Gilbert,2007,9780747585664,Bloomsbury,,Paperback,Memoirs,"General Autobiography, Travel Writing",Non-Fiction,0,,9.99,349,English,0,0,1,,Gilbert,19
City of Girls,Elizabeth Gilbert,2020,9781526619808,Bloomsbury,,Paperback - A Format,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Historical Fiction",Fiction,0,,6.99,495,English,0,0,1,,Gilbert,0
Afterlives,Abdulrazak Gurnah,2021,9781526615893,Bloomsbury,,Paperback,Modern & Contemporary Fiction,War & Combat Fiction,Fiction,0,,8.99,275,English,0,0,1,,Gurnah,0
Mischief Acts,Zoe Gilbert,2022,9781526628800,Bloomsbury,Bloomsbury Circus,Hardback,Historical Fiction,"Myths & Legends, Contemporary Historical Fiction",Fiction,0,,17.99,432,English,0,0,2,,Gilbert,11
The Wind in The Willows,Kenneth Grahame,1994,9780140366853,Penguin Random House,Puffin Books,Paperback,Classic Fiction,Classic Childrens Fiction,Fiction,0,,1.99,242,English,0,0,1,,Grahame,4
The Librairian of Auschwitz,Antonio Iturbe,2019,9781529104776,Penguin Random House,Ebury Press,Paperback,Historical Fiction,"Historical Fiction, WWII",Fiction,0,,8.99,445,English,0,0,1,,Iturbe,11
Never Greener,Ruth Jones,2018,9780593078075,Penguin Random House,Transworld,Trade Paperback,Romance,Romance,Fiction,0,,12.99,403,English,1,0,1,,Jones,3
Summer at Sandcastle Cottage,Christina Jones,2021,9781786157287,Hachette,Headline,Paperback,Romance,Romance,Fiction,0,,9.99,239,English,0,0,1,,Jones,3
At Certain Points We Touch,Lauren John Joseph,2022,9781526631305,Bloomsbury,Bloomsbury,Proof,Modern & Contemporary Fiction,"Modern And Contemporary Fiction, LGBTQ, literary fiction",Fiction,0,,,370,English,0,0,1,,Joseph,0
As Long As The Lemon Trees Grow,Zoulfa Katouh,2022,9781526648525,Bloomsbury,Bloomsbury,Proof,Young Adult,"YA, romance",Fiction,0,,,415,English,1,0,1,,Katouh,9
This is Going to Hurt,Adam Kay,2018,9781509858637,Pan Macmillan,Picador,Paperback,Memoirs,"Medical, Memoir",Non-Fiction,0,,8.99,277,English,1,1,1,,Kay,19
Twas the Nightshift Before Christmas,Adam Kay,2019,9781529018585,Pan Macmillan,Picador,Hardback,Memoirs,"Medical, Memoir",Non-Fiction,0,,9.99,143,English,0,0,1,,Kay,19
the sun and her flowers,Rupi Kaur,2017,9781471165825,Simon & Schuster,Simon & Schuster,Paperback,Poetry,Poetry,Fiction,0,,12.99,248,English,0,0,1,,Kaur,6
milk and honey,Rupi Kaur,2015,9781449474256,Andrews Mcmeel Publishing,Andrews Mcmeel Publishing,Paperback,Poetry,Poetry,Fiction,0,,9.99,204,English,1,0,1,,Kaur,6
Not A Wake,Michael Keith,2010,9780963009715,Vinculum Press,Vinculum Press,Paperback,Popular Science,Mathematics,Non-Fiction,0,,,101,English,0,0,1,,Keith,13
Forging Silver into Stars,Brigid Kemmerer,2022,9781526645746,Bloomsbury,Bloomsbury,Paperback,Young Adult,"YA, Fantasy, Romance",Fiction,0,,8.99,542,English,0,0,1,,Kemmerer,9
Defy the Night,Brigid Kemmerer,2021,9781526632807,Bloomsbury,Bloomsbury,Proof,Young Adult,"YA, Fantasy, Romance",Fiction,Defy the Night,1,,448,English,1,1,1,,Kemmerer,9
Defend the Dawn,Brigid Kemmerer,2022,9781526644626,Bloomsbury,Bloomsbury,Paperback,Young Adult,"YA, Fantasy, Romance",Fiction,Defy the Night,2,8.99,429,English,0,0,1,,Kemmerer,9
A Curse So Dark and Lonely,Brigid Kemmerer,2019,9781408884614,Bloomsbury,Bloomsbury,Paperback,Young Adult,"YA, Fantasy, Romance",Fiction,Cursebreaker,1,7.99,501,English,0,0,1,,Kemmerer,9
A Heart So Fierce and Broken,Brigid Kemmerer,2020,9781408885086,Bloomsbury,Bloomsbury,Paperback,Young Adult,"YA, Fantasy, Romance",Fiction,Cursebreaker,2,7.99,450,English,0,0,1,,Kemmerer,9
A Vow So Bold and Deadly,Brigid Kemmerer,2021,9781526613820,Bloomsbury,Bloomsbury,Paperback,Young Adult,"YA, Fantasy, Romance",Fiction,Cursebreaker,2,7.99,405,English,0,0,1,,Kemmerer,9
Hood Feminism,Mikki Kendall,2020,9781526622792,Bloomsbury,Bloomsbury,Proof,Feminist Theory,Feminism ,Non-Fiction,0,,,267,English,0,0,1,,Kendall,18
The End of the World is a Cul De Sac,Louise Kennedy,2021,9781526623270,Bloomsbury,Bloomsbury,Hardback,Short Stories,Short stories,Fiction,0,,14.99,286,English,1,0,1,,Kennedy,1
Trespasses,Louise Kennedy,2022,9781526623324,Bloomsbury,Bloomsbury,Hardback,Modern & Contemporary Fiction,Modern And Contemporary Fiction,Fiction,0,,14.99,311,English,1,0,1,,Kennedy,0
Black Wolf,Kathleen Kent,2023,9781804547885,Bloomsbury,Head Of Zeus,Proof,Historical Fiction,"Historical Fiction, Cold War",Fiction,0,,,385,English,0,0,1,,Kent,11
Kingdom of Ash,Sarah J Maas,2019,9781547604388,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne of Glass,7,12.99,980,English,1,1,1,,Maas,7
Tower of Dawn,Sarah J Maas,2019,9781547604371,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne of Glass,6,12.99,660,English,1,1,1,,Maas,7
Empire of Storms,Sarah J Maas,2019,9781547604364,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne of Glass,5,12.99,689,English,1,1,1,,Maas,7
Queen of Shadows,Sarah J Maas,2019,9781547604357,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne of Glass,4,12.99,645,English,1,1,1,,Maas,7
Heir of Fire,Sarah J Maas,2019,9781547604340,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne of Glass,3,12.99,562,English,1,1,1,,Maas,7
Crown of Midnight,Sarah J Maas,2019,9781547604333,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne of Glass,2,12.99,418,English,1,1,1,,Maas,7
Throne of Glass,Sarah J Maas,2019,9781547604319,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne of Glass,1,12.99,404,English,1,1,1,,Maas,7
The Assassin's Blade,Sarah J Maas,2019,9781547604326,Bloomsbury,Bloomsbury,Miniature Edition,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne of Glass,0,12.99,435,English,1,1,1,,Maas,7
House of Sky and Breath,Sarah J Maas,2022,9781408884423,Bloomsbury,Bloomsbury,Butchered Hardback,Fantasy,"Fantasy, Romance, Modern & Contemporary Fiction",Fiction,Crescent City,2,16.99,805,English,1,1,1,,Maas,7
Throne of Glass,Sarah J Maas,2012,9781408832332,Bloomsbury,Bloomsbury,Paperback,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne of Glass,1,8.99,403,English,1,1,2,,Maas,7
Tower of Dawn,Sarah J Maas,2017,9781408887974,Bloomsbury,Bloomsbury,Paperback,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne of Glass,6,8.99,660,English,1,1,1,,Maas,7
Kingdom of Ash,Sarah J Maas,2018,9781408872918,Bloomsbury,Bloomsbury,Paperback,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne of Glass,7,8.99,984,English,1,1,1,,Maas,7
Crown of Midnight,Sarah J Maas,2013,9781408834947,Bloomsbury,Bloomsbury,Paperback,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne of Glass,2,8.99,422,English,1,1,1,,Maas,7
Heir Of Fire,Sarah J Maas,2014,9781408839126,Bloomsbury,Bloomsbury,Paperback,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne of Glass,3,8.99,561,English,1,1,1,,Maas,7
Throne of Glass,Sarah J Maas,2018,9781526605283,Bloomsbury,Bloomsbury,Hardback,Fantasy,"Fantasy Romance, Contemporary Romance",Fiction,Throne of Glass,1,,421,English,1,1,1,,Maas,7
Life of Pi,Yann Martel,2003,9781841953922,Canongate,,Paperback,Modern & Contemporary Fiction,Modern & Contempary Fiction,Fiction,,,7.99,319,English,1,0,1,,Martel,0
All i said was true,Imran Mahmood,2022,9781526647535,Bloomsbury,Raven Books,Trade Paperback,Crime & Mystery,Crime and Mystery,Fiction,,,,303,English,1,0,1,,Mahmood,2
A Game of Thrones,George R R Martin,2011,9780007448036,Harper Collins,Harper Voyager,Paperback,Fantasy,Fantasy,Fiction,A Song of Ice and Fire,1,8.99,780,English,0,1,2,,Martin,7
A Dance with dragons 1: Dreams and Dust,George R R Martin,2012,9780007466061,Harper Collins,Harper Voyager,Paperback,Fantasy,Fantasy,Fiction,A Song of Ice and Fire,5.1,9.99,684,English,0,0,2,,Martin,7
Couping Rydberg atoms to superconducting microwave circuits,Alexandre Morgan,2019,,,,,Academic,PhD,Non-Fiction,,,,142,English,0,0,1,,Morgan,14
Critical,Matt Morgan,2019,9781471173066,Simon & Schuster,,Paperback,Memoirs,"Autobiography, true story, science, medicine, technology",Non-Fiction,,,9.99,260,English,0,0,1,,Morgan,19
How to be a woman,Caitlin Moran,2011,9780091940744,Penguin Random House,Ebury Press,Paperback,Memoirs,"biography, true story, politics, humour, society and culture",Non-Fiction,,,8.99,312,English,0,0,1,,Moran,19
Luka Modric,Luka Modric,2020,9781472982384,Bloomsbury,Bloomsbury Sport,Hardback,Memoirs,"Sport, autobiography, football",Non-Fiction,,,18.99,289,English,0,0,1,,Modric,19
Ordinary Monsters,J M Miro,2022,9781526650047,Bloomsbury,Na,Trade Paperback,Fantasy,"sci-fi, fantasy, horror, modern and contempary fiction ",Fiction,The Talents Series,1,,656,English,1,0,1,,Miro,7
Girl one,Sara Flannery Murphy,2021,9781526637420,Bloomsbury,Raven Books,Trade Paperback,Crime & Mystery,"Crime, Thriller, Mystery",Fiction,,,,353,English,0,0,1,,Murphy,2
Still me ,Jojo Moyes,2019,9781405924207,Penguin Random House,Penguin Books,Paperback,Romance,Modern and contempary fiction,Fiction,,,8.99,469,English,0,0,1,,Moyes,3
Girl one,Sara Flannery Murphy,2021,9781526637475,Penguin Random House,Penguin Books,Paperback,Modern & Contemporary Fiction,Modern and contempary fiction,Fiction,,,8.99,356,English,0,0,1,,Murphy,0
The Offing,Benjamin Myers,2020,9781526611307,Bloomsbury,,Paperback,Modern & Contemporary Fiction,"modern and comtempary fiction, historical fiction",Fiction,,,8.99,260,English,0,0,1,,Myers,0
Cuddy,Benjamin Myers,2023,9781526631480,Bloomsbury,,Proof,Modern & Contemporary Fiction,Modern and contempary fiction,Fiction,,,,403,English,0,0,1,,Myers,0
How high we go in the dark,Sequoia Nagamatsu,2022,9781526637192,Bloomsbury,,Proof,Science Fiction,"scifi, modern and contempary fiction",Fiction,,,,287,English,1,1,1,,Nagamatsu,8
The railway children,Edith Nesbit,1995,9780140621624,Penguin Random House,,Paperback,Classic Fiction,childrens classic fiction,Fiction,,,,212,English,0,0,1,,Nesbit,4
The knife of never letting go,Patrick Ness,2014,9781406357981,Walker Books,,Paperback,Young Adult,"Teen and young adult, scifi",Fiction,Chaos walking,1,7.99,512,English,1,0,1,,Ness,9
The ask and the answer,Patrick Ness,2011,9781406339864,Walker Books,,Paperback,Young Adult,"Teen and young adult, scifi",Fiction,Chaos walking,2,7.99,516,English,1,0,1,,Ness,9
Monsters of Men,Patrick Ness,2011,9781406339871,Walker Books,,Paperback,Young Adult,"Teen and young adult, scifi",Fiction,Chaos walking,3,7.99,603,English,1,0,1,,Ness,9
Becoming,Michelle Obama,2018,9780241334140,Penguin Random House,Viking,Hardback,Memoirs,"memoir, history, politics, biography",Non-Fiction,,,25.0,426,English,0,0,1,,Obama,19
Wuthering Heights,Emily Bronte,2000,9781853260018,Wordsworth,,Paperback,Classic Fiction,classic fiction,Fiction,,,,248,English,1,0,2,,Bronte,4
Humankind ,Rutger Bregman,2021,9781408898956,Bloomsbury,,Paperback,Philosophy,"ethics and moral philosophy, pyschology ",Non-Fiction,,,9.99,465,English,0,0,1,,Bregman,16
Songs in ursa major,Emma Brodie,2022,9780008435301,Harper Collins,,Paperback,Romance,"Romance, modern and contempary fiction",Fiction,,,8.99,392,English,1,0,1,,Brodie,3
The DaVinci Code,Dan Brown,2004,9780552149518,Corgi,,Paperback,Crime & Mystery,Thriller,Fiction,Robert Langdon,2,6.99,604,English,0,0,1,,Brown,2
A short history of nearly everything,Bill Bryson,2004,9780552997041,Black Swan,,Paperback,Popular Science,Popular science,Non-Fiction,,,8.99,686,English,0,0,1,,Bryson,13
The Five sorrowful mysteries of Andy africa,Stephen Buoro,2023,9781526638021,Bloomsbury,,Proof,Modern & Contemporary Fiction,Modern and contempary fiction,Fiction,,,,311,English,0,0,1,,Buoro,0
medusa,Jessie Burton,2021,9781526646613,Bloomsbury,Bloomsbury Ya,Proof,Young Adult,"Fantasy, YA",Fiction,,na ,,207,English,1,1,1,,Burton,9
Prosecco drinking games,Abbie Cammidge,2018,9781911026426,Ryland Peters And Small,Dog And Bone Books,Hardback,Gifts,"parties, etiquette and entertaining",Non-Fiction,,,7.99,64,English,0,0,1,,Cammidge,20
Alices adventures in wonderland,Lewis Carroll,1899,,Macmillan And Co,,Hardback,Classic Fiction,Classic kids fiction,Fiction,Alice in wonderland collection,1,,122,English,0,0,1,,Carroll,4
Queenie,Candice Carty-Williams,2020,9781409180074,Hachette,Orion,Paperback,Modern & Contemporary Fiction,"Modern and contempary fiction, romance",Fiction,,,8.99,391,English,1,0,1,,Carty-Williams,0
Iron Annie,Luke Cassidy,2022,9781526636003,Bloomsbury,,Paperback,Modern & Contemporary Fiction,"modern and comtempary fiction, Thriller",Fiction,,,8.99,292,English,0,0,1,,Cassidy,0
Small Pleasures,Clare Chambers,2021,9781474613903,Hachette,Orion,Paperback,Modern & Contemporary Fiction,"Modern and contempary fiction, romance",Fiction,,,8.99,350,English,0,0,1,,Chambers,0
Outraged,Ashley Dotty Charles,2021,9781526625151,Bloomsbury,Bloomsbury Circus,Proof,Sociology,"Sociology, politics and goverment",Non-Fiction,,,,139,English,0,0,1,,Charles,15
Dont swipe right ,L M Chilton,2023,9781837930258,Bloomsbury,Head Of Zeus,Proof,Crime & Mystery,"Thriller, romance, crime and mystery",Fiction,,,,290,English,0,0,1,,L.M.Chilton,2
Poirot in the orient omnibus,Agatha Christie,2001,9780007120727,Harper Collins,,Paperback,Classic Fiction,classic crime,Fiction,,,9.99,578,English,0,0,1,,Christie,4
Piranesi,Susanna Clarke,2020,9781526623263,Bloomsbury,,Proof,Modern & Contemporary Fiction,"Modern and contempary fiction, fantasy",Fiction,,,,245,English,1,0,1,,Clarke,0
The Flower Girls,Alice Clark-Platts,2019,9781526607010,Bloomsbury,Raven Books,Proof,Crime & Mystery,"Crime and Mystery, Thriller",Fiction,,,,329,English,0,0,1,,Clark-Platts,2
The Cove,Alice Clark-Platts,2022,9781526604286,Bloomsbury,Raven Books,Proof,Crime & Mystery,"Crime and Mystery, Thriller",Fiction,,,,260,English,0,0,1,,Clark-Platts,2
The Binding,Bridget Collins,2019,9780008272142,Harper Collins,Borough Press,Paperback,Fantasy,"modern and contempary fiction, fantasy, romance",Fiction,,,8.99,438,English,1,1,1,,Collins,7
Cult Classic,Sloane Crosley,2022,9781526636430,Bloomsbury,Bloomsbury Circus,Trade Paperback,Modern & Contemporary Fiction,"Modern and contempary fiction, romance",Fiction,,,13.99,282,English,1,0,1,,Crosley,0
One,Sarah Crossan,2015,9781408863114,Bloomsbury,,Proof,Children's & Teenage,Childrens Fiction,Fiction,,,,432,English,1,0,1,,Crossan,10
Klara and the sun,Kazou Ishiguro,2021,9780571364879,Faber & Faber,,Hardback,Modern & Contemporary Fiction,Modern and contempary fiction,Fiction,,,20.0,307,English,1,0,1,,Ishiguro,0
