Name,Author,Pub Year,ISBN-13,Publisher,Imprint Publisher,BookType,Primary Genre,Genres,Ficiton/non-fiction,Series,Volume,Unit Price,Page number,Language,Read by Stinky,Read by Matt,QTY,To/From,surname,Primary Genre numerical
You me everything,Catherine Isaac,2018,9781471149146,Simon & Schuster,,Paperback,Romance,"Modern and contempary fiction, romance",Fiction,,,7.99,421,English,0,0,1,,Isaac,3
They're going to love you,Meg Howrey,2022,9781526655820,Bloomsbury,,Hardback,Modern & Contemporary Fiction,Modern and contempary Fiction,Fiction,,,16.99,274,English,1,0,1,,Howrey,0
Hungry Ghosts,Kevin Jared Hosein,2023,9781526644497,Bloomsbury,,Proof,Modern & Contemporary Fiction,"Modern and contempary fiction, historical fiction",Fiction,,,,327,English,1,0,3,,Hosein,0
It ends with us,Colleen Hoover,2016,9781471156267,Simon & Schuster,,Paperback,Romance,Romance,Fiction,,,8.99,373,English,1,0,1,,Hoover,3
The man who loved only numbers ,Paul Hoffman,1998,9781857028119,Fourth Estate,,Hardback,Popular Science,"History of mathematics, science, technology, biography",Non-Fiction,,,12.99,302,English,0,0,1,,Hoffman,13
Dune,Frank Herbert,2021,9781473233959,Hachette,Orion,Hardback,Science Fiction,science fiction,Fiction,The Dune Chronicles,1,25.0,609,English,0,0,1,,Herbert,8
Other Peoples clothes,Calla Henkel,2021,9781529392098,Hachette,Hodder And Stoughton,Hardback,Modern & Contemporary Fiction,"modern and contempary fiction, crime, mystery",Fiction,,,14.99,321,English,0,0,1,,Henkel,0
Last house before the mountain,Monika Helfer,2023,9781526658807,Bloomsbury,,Proof,Historical Fiction,"Historical fiction, world war 1",Fiction,,,,177,English,0,0,1,,Helfer,11
Channel coast of France,Paul Heiney,2022,9781472985699,Bloomsbury,Adlard Coles,Flexiback,Travel & Holiday Guides,sailing,Non-Fiction,,,18.99,160,English,0,0,1,,Heiney,21
The summer party,Rebecca Heath,2023,9781804541005,Bloomsbury,Head Of Zeus,Proof,Crime & Mystery,"Crime, mystery, thriller",Fiction,,,,412,,0,0,1,,Heath,2
A brief history of time,Stephen Hawking,2016,9780857501004,Penguin Random House,Transworld,Paperback,Popular Science,"popular science, cosmology, universe",Non-Fiction,,,8.99,253,,0,0,1,,Hawking,13
Spare,Harry Windsor,2023,9780857504791,Penguin Random House,Transworld,Hardback,Memoirs,"memiors, royal, autobiography",Non-Fiction,,,28.0,410,,0,0,1,,Windsor,19
The House with the golden door,Elodie Harper,2022,9781838933586,Bloomsbury,Head Of Zeus,Trade Paperback,Historical Fiction,Historical Fiction,Fiction,Wolf Den Trilogy,2,14.99,489,,0,0,1,,Harper,11
The Wolf Den,Elodie Harper,2021,9781838933555,Bloomsbury,Head Of Zeus,Paperback,Historical Fiction,Historical Fiction,Fiction,Wolf Den Trilogy,1,8.99,455,,1,0,1,,Harper,11
Sapiens,Yuval Noah Harari,2014,9780099590088,Penguin Random House,Vintage,Paperback,Sociology,"general and world history, anthropology",Non-Fiction,Yuval Noah Harari collection,1,9.99,498,,0,0,1,,Harari,15
The Appeal,Janice Hallett,2021,9781788165303,Profile Books,Serpents Tail,Paperback,Crime & Mystery,"crime, mystery",Fiction,,,8.99,460,,0,1,1,,Hallett,2
Notes on a nervous planet,Matt Haig,2018,9781786892676,Canongate,,Hardback,Memoirs,"memiors, anxiety",Non-Fiction,,,12.99,310,,1,0,1,,Haig,19
A court of Thorns and Roses,Sarah J Maas,2020,9781526605399,Bloomsbury,Bloomsbury Ya,Paperback,Fantasy,"Fantasy, romance",Fiction,ACOTAR,1,8.99,419,,1,1,1,,Maas,7
A court of mist and fury,Sarah J Maas,2020,9781526617163,Bloomsbury,Bloomsbury Ya,Paperback,Fantasy,"Fantasy, romance",Fiction,ACOTAR,2,8.99,626,,1,1,1,,Maas,7
A Court of Wings and ruin,Sarah J Maas,2020,9781526617170,Bloomsbury,Bloomsbury Ya,Paperback,Fantasy,"Fantasy, romance",Fiction,ACOTAR,3,8.99,703,,1,1,1,,Maas,7
A court of thorns and Roses -  Collectors edition,Sarah J Maas,2019,9781547604173,Bloomsbury,Bloomsbury Ya,Hardback,Fantasy,"Fantasy, romance",Fiction,ACOTAR,1,29.99,433,,1,1,1,,Maas,7
The Assassins blade,Sarah J Maas,2014,9781408851982,Bloomsbury,Bloomsbury Ya,Paperback,Fantasy,"Fantasy, romance",Fiction,Throne of Glass,0,8.99,434,,1,1,1,,Maas,7
House of Earth and Blood,Sarah J Maas,2021,9781526622884,Bloomsbury,,Paperback,Fantasy,"Fantasy, romance",Fiction,Crescent City,1,9.99,797,,1,1,1,,Maas,7
House of Sky and Breath,Sarah J Maas,2022,9781408884423,Bloomsbury,,Hardback,Fantasy,"Fantasy, romance",Fiction,Crescent City,2,16.99,798,,1,1,1,,Maas,7
My own worst enemy,Lily Lindon,2023,9781801107617,Bloomsbury,Head Of Zeus,Proof,Romance,"contempary romance, lgbtq",Fiction,,,,386,,0,0,1,,Lindon,3
Think big,Dr Grace Lordan,2021,9780241420164,Penguin Random House,Penguin Life,Paperback,Careers,"Careers guidance, education, psycology",Non-Fiction,,,14.99,325,,0,0,1,,Lordan,22
You are not alone,Cariad Lloyd,2023,9781526621832,Bloomsbury,,Proof,Sociology,"Death, sociology, anthropology",Non-Fiction,,,,269,,0,0,1,,Lloyd,15
The masters tools will never dismantle the masters house,Audre Lorde,2017,9780241339725,Penguin Random House,Penguin Classics,Paperback,Feminist Theory,"literary essays, social discrimation, inequality",Non-Fiction,,,2.0,51,,0,0,1,,Lorde,18
No one is talking about this,Patricia Lockwood,2021,9781526629760,Bloomsbury,Bloomsbury Circus,Hardback,Modern & Contemporary Fiction,modern & contempary fiction,Fiction,,,14.99,210,,1,0,1,,Lockwood,0
I may be wrong,Bjorn Natthiko Lindeblad,2022,9781526644824,Bloomsbury,,Hardback,Memoirs,"Memiors, religion, budism",Non-Fiction,,,16.99,237,,1,0,1,,Lindeblad,19
The phantom of the opera,Gaston Leroux,1995,9780140621747,Penguin Books,,Paperback,Classic Fiction,classic fiction,Fiction,,,,270,,0,0,1,,Leroux,4
Stolen ,Ann-Helen Laestadius,2023,9781526659989,Bloomsbury,Bloomsbury Circus,Proof,Modern & Contemporary Fiction,"modern and contempary fiction, ethnic studies",Fiction,,,,381,,0,0,1,,Laestadius,0
Catfish Rolling,Clara Kumagai,2023,9781803288048,Bloomsbury,Head Of Zeus,Proof,Young Adult,"fantasy, ya",Fiction,,,,369,,0,0,2,,Kumagai,9
A universe from nothing,Lawerence M Krauss,2012,9781471112683,Simon & Schuster,,Paperback,Popular Science,"popular science, cosmology, universe",Non-Fiction,,,8.99,201,,0,0,1,,Krauss,13
Nettle and bone,T Kingfisher (Ursula Vernon),2022,9781789098273,Titan Books,,Proof,Fantasy,Fantasy,Fiction,,,,325,,0,0,1,,Vernon),7
Grown Ups ,Marian Keyes,2020,9780718179748,Penguin Random House,Michael Joseph,Hardback,Modern & Contemporary Fiction,"modern and contempary fiction, humour",Fiction,,,20.0,636,,0,0,1,,Keyes,0
A Feast For Crows,George R R Martin,2011,9780007447862,Harper Collins,Harper Voyager,Paperback,Fantasy,Fantasy,Fiction,A Song of Ice and Fire,4,9.99,852,,0,0,2,,Martin,7
A Storm of Sword 2: Blood and Gold,George R R Martin,2011,9780007447855,Harper Collins,Harper Voyager,Paperback,Fantasy,Fantasy,Fiction,A Song of Ice and Fire,3.2,9.99,607,,0,0,2,,Martin,7
A Dance With Dragons 2: After the Feast,George R R Martin,2012,9780007466078,Harper Collins,Harper Voyager,Paperback,Fantasy,Fantasy,Fiction,A Song of Ice and Fire,5.2,9.99,560,,0,0,2,,Martin,7
A Storm of Swords 1: Steel and Snow,George R R Martin,2011,9780007447848,Harper Collins,Harper Voyager,Paperback,Fantasy,Fantasy,Fiction,A Song of Ice and Fire,3.1,9.99,623,,0,0,2,,Martin,7
A Knight of the Seven Kingdoms,George R R Martin,2015,9780007507672,Harper Collins,Harper Voyager,Hardback,Fantasy,Fantasy,Fiction,,,20.0,355,,0,0,1,,Martin,7
Hokey Pokey,Kate Mascarenhas,2023,9781789543858,Bloomsbury,Head Of Zeus,Proof,Crime & Mystery,"Crime, Thriller, Mystery",Fiction,,,,324,,0,0,1,,Mascarenhas,2
Reprieve,James Han Mattson,2021,9781526635563,Bloomsbury,,Proof,Crime & Mystery,Horror and ghost stories,Fiction,,,,406,,1,0,1,,Mattson,2
Little Nothings,Julie Mayhew,2022,9781526606341,Bloomsbury,Raven Books,Hardback,Crime & Mystery,"Crime & Mystery, Contemporary Fiction",Fiction,,,14.99,261,,0,0,2,,Mayhew,2
The Song of Achilles,Madeline Miller,2017,9781408891384,Bloomsbury,Bloomsbury Paperbacks,Paperback,Myths & Legends,"Myths & Legends, Contemporary Historical Fiction",Fiction,,,9.99,352,,1,1,1,,Miller,12
Galatea,Madeline Miller,2022,9781526652065,Bloomsbury,,Hardback,Myths & Legends,"Myths & Legends, Contemporary Historical Fiction",Fiction,,,6.99,56,,1,1,1,,Miller,12
Circe,Madeline Miller,2019,9781408890042,Bloomsbury,,Paperback,Myths & Legends,"Myths & Legends, Contemporary Historical Fiction",Fiction,,,9.99,336,,1,1,1,,Miller,12
It's Not Me It's You,Mhairi Mcfarlane,2015,9780007524983,Harper Collins,Harper,Paperback,Romance,Contemporary Romance,Fiction,,,7.99,531,,0,0,1,,Mcfarlane,3
The Medusa Project: Hunted,Sophie Mckenzie,2011,9781847385284,Simon & Schuster,,Paperback,Children's & Teenage,Childrens & Teenage General Fiction,Fiction,The Medusa Project,4,6.99,261,,0,0,1,,Mckenzie,10
Northern Lights,Philip Pullman,1998,9780590660549,Scholastic Childrens Books,Scholastic Ltd,Paperback,Children's & Teenage,"Childrens & Teenage, Fantasy, Adventure",Fiction,His Dark Materials,1,6.99,399,,1,0,2,,Pullman,10
Northern Lights,Philip Pullman,2019,9781407186108,Scholastic Childrens Books,Scholastic Ltd,Paperback,Children's & Teenage,"Childrens & Teenage, Fantasy, Adventure",Fiction,His Dark Materials,1,8.99,397,,1,0,1,,Pullman,10
The Whispering Muse,Laura Purcell,2023,9781526627186,Bloomsbury,Raven Books,Proof,Historical Fiction,"Historical Fiction, Crime & Mystery",Fiction,,,,293,,0,0,1,,Purcell,11
Asking for a Friend,Andi Osho,2021,9780008245795,Harper Collins,Hq,Paperback,Romance,Contemporary Romance,Fiction,,,8.99,373,,0,0,1,,Osho,3
The Thursday Murder Club,Richard Osman,2020,9780241425442,Penguin Random House,Viking,Hardback,Crime & Mystery,"Crime & Mystery, Cosy Crime",Fiction,Thursday Murder Club,1,14.99,380,,0,0,1,,Osman,2
The Ghost Theatre,Mat Osman,2023,9781526654403,Bloomsbury,,Proof,Historical Fiction,Historical Fiction,Fiction,,,,307,,0,0,2,,Osman,11
Falling Awake,Alice Oswald,2016,9781910702437,Penguin Random House,Jonathan Cape,Paperback With Flaps,Poetry,Poetry,Fiction,,,10.0,81,,0,0,1,,Oswald,6
Humble Pi,Matt Parker,2020,9780141989143,Penguin Random House,Penguin Books,Paperback,Popular Science,"Popular Mathematics, General Humour",Non-Fiction,,,9.99,313,,0,0,1,,Parker,13
I'm a Fan,Sheena Patel,2022,9781914236150,Rough Trade Books,,Hardback,Modern & Contemporary Fiction,Modern and contemporary fiction,Fiction,,,16.99,208,,0,0,1,,Patel,0
Remarkably Bright Creatures,Shelby Van Pelt,2022,9781526649669,Bloomsbury,,Trade Paperback,Modern & Contemporary Fiction,Modern and contemporary fiction,Fiction,,,13.99,359,,1,0,1,,Pelt,0
"Detransition, Baby",Torrey Peters,2020,9781788167208,Profile Books,Serpents Tail,Hardback,Modern & Contemporary Fiction,"Modern and contemporary fiction, lgbtq",Fiction,,,14.99,340,,0,0,1,,Peters,0
12 Rules for Life,Jordan B Peterson,2019,9780141988511,Penguin Random House,Penguin Books,Paperback,Philosophy,"Self help & Personal development, popular philosophy",Non-Fiction,,,10.99,409,,0,0,1,,Peterson,16
The Bell Jar,Sylvia Plath,1966,9780571081783,Faber & Faber,,Paperback,Modern & Contemporary Fiction,Modern & contemporary fiction,Fiction,,,6.99,234,,0,0,1,,Plath,0
An Inspector Calls,J B Priestley,1993,9780435232825,Pearson Education Limited,Heinemann,Hardback,Classic Fiction,"Play, English Literature",Fiction,,,9.99,79,,1,1,1,,Priestley,4
Lost in Time,A G Riddle,2022,9781804541760,Bloomsbury,Head Of Zeus,Hardback,Science Fiction,"Science Fiction, Thriller",Fiction,,,16.99,451,,0,0,1,,Riddle,8
Hotel 21,Senta Rich,2023,9781526650498,Bloomsbury,,Proof,Modern & Contemporary Fiction,Modern & contemporary fiction,Fiction,,,,278,,0,0,1,,Rich,0
Thunderhead,Douglas Preston & Lincoln Child,1999,9780446523370,Warner Books,,Hardback,Science Fiction,Science Fiction,Fiction,,,18.99,483,,0,0,1,,Child,8
The Bedlam Stacks,Natasha Pulley,2018,9781408878477,Bloomsbury,,Paperback,Historical Fiction,Historical Fiction,Fiction,,,8.99,337,,0,0,1,,Pulley,11
Our Final Century,Martin Rees,2004,9780099436867,Penguin Random House,Arrow Books,Paperback,Sociology,"Social Issues, Social Impact of Disasters",Non-Fiction,,,7.99,228,,0,0,1,,Rees,15
Good Relations,Janet Reibstein,2023,9781472992383,Bloomsbury,Green Tree,Proof,Sociology,"Popular Psychology, Family and relationships",Non-Fiction,,,,257,,0,0,1,,Reibstein,15
Such a Fun Age,Kiley Reid,2020,9781526612144,Bloomsbury,Bloomsbury Circus,Hardback,Modern & Contemporary Fiction,Modern & contemporary fiction,Fiction,,,12.99,310,,1,0,1,,Reid,0
How Should One Read a Book?,Virginia Woolf,2020,9781786277527,Hachette,Laurence King,Hardback,Literary Essays,Literary Essays,Non-Fiction,,,7.99,63,,0,0,1,,Woolf,5
Genius and Ink,Virginia Woolf,2020,9780008361884,Harper Collins,Tls Books,Paperback,Literary Essays,Literary Essays,Non-Fiction,,,8.99,240,,0,0,1,,Woolf,5
Today a Woman Went Mad in the Supermarket,Hilma Wolitzer,2021,9781635577624,Bloomsbury,,Proof,Short Stories,Short stories,Fiction,,,,179,,0,0,1,,Wolitzer,1
The Salt Path,Raynor Winn,2019,9781405937184,Penguin Random House,Penguin Books,Paperback,Memoirs,"Memoir, Housing and Homelessness",Non-Fiction,,,9.99,274,,0,0,1,,Winn,19
101 Essays That Will Change the Way You Think,Brianna Wiest,2017,9781945796067,Thought Catalog Books,,Paperback,Philosophy,"Self help & Personal development, popular philosophy",Non-Fiction,,,9.99,441,,0,0,1,,Wiest,16
Blood to Poison,Mary Watson,2022,9781526619174,Bloomsbury,Bloomsbury Ya,Paperback,Children's & Teenage,"Childrens & Teenage, Fantasy, Romance, Family Issues",Fiction,,,7.99,383,,0,0,1,,Watson,10
Untamed Shore,Silvia Moreno-Garcia,2023,9781529426328,Hachette,Quercus,Hardback,Crime & Mystery,"Crime & Mystery, Thriller, Historical Fiction",Fiction,,,16.99,282,,0,0,1,,Moreno-Garcia,2
12 Hours to Say I Love You,Olivia Poulet And Laurence Dobiesz,2022,9781472292599,Hachette,Headline,Proof,Romance,Contemporary Romance,Fiction,,,,485,,0,0,1,,Dobiesz,3
The Darkening,Sunya Mara,2022,9781399709378,Hachette,Hodder And Stoughton,Proof,Young Adult,Young Adult Fantasy,Fiction,The Darkening,1,,392,,0,0,1,,Mara,9
Snowdonia ,Mark Reeves,2020,9781873341636,Rockfax,,Flexiback,Travel & Holiday Guides,"Travel & Maps, Walking, Hiking & Trekking",Non-Fiction,,,24.95,288,,0,0,1,,Reeves,21
House of Odysseus,Claire North,2023,9780356521787,Hachette,"Little, Brown",Proof,Myths & Legends,"Myths & Legend, Historical Fiction",Fiction,The Songs of Penelope,2,,420,,0,0,1,,North,12
Rule of Wolves,Leigh Bardugo,2022,9781510104495,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy,Fiction,King of Scars,2,8.99,590,,0,0,1,,Bardugo,9
King of Scars,Leigh Bardugo,2020,9781510104464,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy,Fiction,King of Scars,1,8.99,514,,0,0,1,,Bardugo,9
Why I'm No Longer Talking To White People About Race,Reni Eddo-Lodge,2017,9781408870556,Bloomsbury,Bloomsbury Circus,Hardback,Sociology,"Society & Culture, Politics & Government",Non-Fiction,,,18.99,249,,0,0,1,,Eddo-Lodge,15
The Devil and the Dark Water,Stuart Turton,2020,9781408889640,Bloomsbury,Raven Books,Hardback,Crime & Mystery,"Crime & Mystery, Historical Thriller",Fiction,,,16.99,555,,0,0,1,,Turton,2
The Housekeepers,Alex Hay,2023,9781035406647,Hachette,Headline,Proof,Historical Fiction,Historical Fiction,Fiction,,,,399,,1,0,2,,Hay,11
Lost on Me,Veronica Raimo,2023,9780349017815,Hachette,"Little, Brown",Proof,Modern & Contemporary Fiction,Fiction in translation,Fiction,,,,209,,0,0,1,,Raimo,0
I'm Sorry You Feel That Way,Rebecca Wait,2022,9781529420449,Hachette,Quercus,Hardback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Illness",Fiction,,,16.99,390,,0,0,1,,Wait,0
The Storm We Made,Vanessa Chan,2024,9781399712576,Hachette,Hodder And Stoughton,Proof,Modern & Contemporary Fiction,"Modern And Contemporary Fiction, War & Combat, Family & Relationships",Fiction,,,,247,,0,0,1,,Chan,0
Crook Manifesto,Colson Whitehead,2023,9780349727646,Hachette,"Little, Brown",Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,Harlem Shuffle,2,,319,,0,0,1,,Whitehead,0
Atalanta,Jennifer Saint,2023,9781035402717,Hachette,Headline,Proof,Myths & Legends,"Myths & Legends, Contemporary Historical Fiction",Fiction,,,,357,,1,0,1,,Saint,12
Many Things Under a Rock,David Scheel,2023,9781399723114,Hachette,Hodder And Stoughton,Proof,Popular Science,"Popular Science, Wildlife, Biology",Non-Fiction,,,,296,,0,0,1,,Scheel,13
Isaac and the Egg,Bobby Palmer,2022,9781472285508,Hachette,Headline,Hardback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,14.99,277,,1,0,1,,Palmer,0
Shanghai Immortal ,A Y Chao,2023,9781399723619,Hachette,Hodder And Stoughton,Proof,Fantasy,"Fantasy, Adventure",Fiction,,,,345,,0,0,1,,Chao,7
Love is a Revolution,Renee Watson,2021,9781526616821,Bloomsbury,Bloomsbury Ya,Paperback,Children's & Teenage,"Childrens & Teenage, Romance",Fiction,,,7.99,289,,0,0,1,,Watson,10
One by One,Ruth Ware,2021,9781784708085,Penguin Random House,Vintage,Paperback,Crime & Mystery,"Crime & Mystery, Thriller ",Fiction,,,7.99,376,,0,0,1,,Ware,2
On Earth We're Briefly Gorgeous,Ocean Vuong,2019,9781529110685,Penguin Random House,Vintage,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,8.99,242,,1,0,1,,Vuong,0
A Day of Fallen Night,Samantha Shannon,2023,9781526619792,Bloomsbury,,Hardback,Fantasy,Fantasy,Fiction,Roots of Chaos,2,18.99,868,,0,0,2,,Shannon,7
Metronome,Tom Watson,2022,9781526639547,Bloomsbury,,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,,307,,1,1,1,,Watson,0
Ariadne,Jennifer Saint,2021,9781472280893,Hachette,Headline,Proof,Myths & Legends,"Myths & Legends, Historical Fiction",Fiction,,,,389,,0,0,1,,Saint,12
Meet Me at the Lake,Carley Fortune,2023,9780349433110,Hachette,"Little, Brown",Paperback,Romance,Contemporary Romance,Fiction,,,9.99,320,,1,0,1,,Fortune,3
The Way of Kings,Brandon Sanderson,2015,9781473211513,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Stormlight Archive,1,14.99,1124,,0,0,1,,Sanderson,7
Things We Never Got Over,Lucy Score,2022,9781399713740,Hachette,Hodder And Stoughton,Paperback,Romance,Contemporary Romance,Fiction,Knockemout ,1,8.99,490,,1,0,1,,Score,3
What If?,Randall Munroe,2015,9781848549562,Hachette,John Murray,Paperback,Popular Science,Popular Science,Non-Fiction,What If,1,8.99,304,,0,0,1,,Munroe,13
1984,George Orwell,2019,9789352230761,Maple Press,,Paperback,Classic Fiction,classic fiction,Fiction,,,,238,,1,1,1,,Orwell,4
Somewhere in the Crowd,Katrina Logan,2023,9781399718905,Hachette,Hodder And Stoughton,Paperback,Romance,"Contemporary Romance, Music",Fiction,,,9.99,291,,0,0,1,,Logan,3
Memphis,Tara M Stringfellow,2023,9781529339253,Hachette,John Murray,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,9.99,252,,0,0,1,,Stringfellow,0
A Witch's Guide to Fake Dating a Demon,Sarah Hawley,2023,9781399608893,Hachette,Orion,Paperback,Fantasy,Fantasy Romance ,Fiction,,,8.99,389,,0,0,1,,Hawley,7
Words of Radiance Part 2,Brandon Sanderson,2015,9780575093324,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Stormlight Archive,2.2,10.99,564,,0,0,1,,Sanderson,7
Words of Radiance Part 1,Brandon Sanderson,2015,9780575093317,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Stormlight Archive,2.1,10.99,653,,0,0,1,,Sanderson,7
Death of a Bookseller,Alice Slater,2023,9781399709392,Hachette,Hodder And Stoughton,Proof,Crime & Mystery,"Crime & Mystery, Thriller",Fiction,,,,374,,0,0,1,,Slater,2
The Beasts of Paris,Steff Penney,2023,9781529428780,Hachette,Quercus,Proof,Historical Fiction,Historical Fiction,Fiction,,,,483,,0,0,1,,Penney,11
She is a Haunting,Trang Thanh Tran,2023,9781547610815,Bloomsbury,Bloomsbury Ya,Proof,Young Adult,"Childrens & Teenage, Horror & Ghost Stories",Fiction,,,,336,,0,0,1,,Tran,9
The Lies We Tell,Katie Zhao,2022,9781526654854,Bloomsbury,Bloomsbury Ya,Paperback,Young Adult,"Childrens & Teenage, Thrillers",Fiction,,,7.99,287,,1,0,1,,Zhao,9
How Much of These Hills is Gold,C Pam Zhang,2021,9780349011455,Hachette,"Little, Brown",Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,8.99,322,,0,0,1,,Zhang,0
A Little Life,Hanya Yanagihara,2016,9781447294832,Pan Macmillan,Picador,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,9.99,720,,1,0,1,,Yanagihara,0
Brilliant Maps,Ian Wright,2021,9781846276637,Granta Books,,Flexiback,History,"Historical Geography, Maps",Non-Fiction,,,12.99,210,,0,0,1,,Wright,17
Essential Medical Statistics,Betty R Kirkwood And Jonathan A C Sterne,2005,9780865428713,Blackwell Science Ltd,,Paperback,Academic,Applied Mathematics,Non-Fiction,,,45.95,501,,0,0,1,,Sterne,14
Data Interpretation for Medical Students,Paul Hamilton And Ian Bickle,2012,9781905635771,Pastest Ltd,,Paperback,Academic,"Medicine, Medical Study and Diagnosis",Non-Fiction,,,27.99,608,,0,0,1,,Bickle,14
How We Fall Apart,Katie Zhao,2021,9781526652041,Bloomsbury,Bloomsbury Ya,Paperback,Young Adult,"Childrens & Teenage, Thrillers",Fiction,,,7.99,298,,1,0,1,,Zhao,9
The Rachel Incident,Caroline O'Donoghue,2023,9780349017754,Hachette,"Little, Brown",Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,,304,,0,0,1,,O'Donoghue,0
Things We Hide From the Light,Lucy Score,2023,9781399722162,Hachette,Hodder And Stoughton,Proof,Romance,Contemporary Romance,Fiction,Knockemout ,2,,574,,0,0,1,,Score,3
Maame,Jessica George,2023,9781399715638,Hachette,Hodder And Stoughton,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Family & Relationships",Fiction,,,,391,,0,0,1,,George,0
Perilous Times,Thomas D Lee,2023,9780356520902,Hachette,"Little, Brown",Proof,Fantasy,Fantasy,Fiction,,,,534,,0,0,1,,Lee,7
Some Desperate Glory,Emily Tesh,2023,9780356519722,Hachette,"Little, Brown",Proof,Science Fiction,"Science Fiction, Space Opera",Fiction,,,,438,,0,0,1,,Tesh,8
The Invisible Life of Addie LaRue,V E Schwab,2022,9781803364186,Titan Books,,Hardback,Fantasy,Fantasy,Fiction,,,18.99,545,,1,0,1,,Schwab,7
